Dataset,Model,Fold,roc_auc,accuracy,balanced_accuracy,precision,recall,f1,Method
Cleveland,Gradient Boosting,4,0.8618881118881119,0.75,0.7552447552447552,0.6923076923076923,0.8181818181818182,0.75,Class weighting
Cleveland,Gradient Boosting,5,0.8688811188811189,0.8333333333333334,0.8356643356643356,0.7916666666666666,0.8636363636363636,0.8260869565217391,Class weighting
Cleveland,XGBoost,1,0.8795986622073579,0.7551020408163265,0.7591973244147157,0.7037037037037037,0.8260869565217391,0.76,Class weighting
Cleveland,XGBoost,2,0.8316498316498318,0.7755102040816326,0.771043771043771,0.7619047619047619,0.7272727272727273,0.7441860465116279,Class weighting
Cleveland,XGBoost,3,0.8548951048951049,0.7916666666666666,0.7937062937062938,0.75,0.8181818181818182,0.782608695652174,Class weighting
Cleveland,XGBoost,4,0.9003496503496504,0.8125,0.8164335664335665,0.76,0.8636363636363636,0.8085106382978723,Class weighting
Cleveland,XGBoost,5,0.8444055944055944,0.7916666666666666,0.7867132867132867,0.8,0.7272727272727273,0.7619047619047619,Class weighting
Cleveland,CatBoost,1,0.9013377926421404,0.8163265306122449,0.8219063545150501,0.75,0.9130434782608695,0.8235294117647058,Class weighting
Cleveland,CatBoost,2,0.8686868686868687,0.8163265306122449,0.8038720538720538,0.8823529411764706,0.6818181818181818,0.7692307692307693,Class weighting
Cleveland,CatBoost,3,0.8583916083916084,0.7708333333333334,0.7674825174825175,0.7619047619047619,0.7272727272727273,0.7441860465116279,Class weighting
Cleveland,CatBoost,4,0.8811188811188811,0.75,0.7517482517482517,0.7083333333333334,0.7727272727272727,0.7391304347826086,Class weighting
Cleveland,CatBoost,5,0.8583916083916083,0.8125,0.8094405594405594,0.8095238095238095,0.7727272727272727,0.7906976744186046,Class weighting
Cleveland,Extra Trees,1,0.9598662207357859,0.8775510204081632,0.8770903010033444,0.8695652173913043,0.8695652173913043,0.8695652173913043,Class weighting
Cleveland,Extra Trees,2,0.8425925925925926,0.7959183673469388,0.7853535353535352,0.8333333333333334,0.6818181818181818,0.75,Class weighting
Cleveland,Extra Trees,3,0.8968531468531469,0.7916666666666666,0.7902097902097902,0.7727272727272727,0.7727272727272727,0.7727272727272727,Class weighting
Cleveland,Extra Trees,4,0.8951048951048951,0.8125,0.8164335664335665,0.76,0.8636363636363636,0.8085106382978723,Class weighting
Cleveland,Extra Trees,5,0.8653846153846154,0.75,0.7517482517482517,0.7083333333333334,0.7727272727272727,0.7391304347826086,Class weighting
HDC,Gradient Boosting,1,0.9992402659069326,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923,SMOTENC
HDC,Gradient Boosting,2,0.9991927825261158,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884,SMOTENC
HDC,Gradient Boosting,3,0.9864197530864198,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077,SMOTENC
HDC,Gradient Boosting,4,0.9998109283418416,0.985781990521327,0.9861505010398941,0.9921875,0.9844961240310077,0.9883268482490273,SMOTENC
HDC,Gradient Boosting,5,0.9929098128190583,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875,SMOTENC
HDC,XGBoost,1,0.9998100664767331,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789,SMOTENC
HDC,XGBoost,2,0.9996201329534663,0.985781990521327,0.9861348528015195,0.9922480620155039,0.9846153846153847,0.9884169884169884,SMOTENC
HDC,XGBoost,3,0.9916429249762583,0.976303317535545,0.9761158594491928,0.9844961240310077,0.9769230769230769,0.9806949806949807,SMOTENC
HDC,XGBoost,4,0.9995273208546038,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471,SMOTENC
HDC,XGBoost,5,0.994895065229722,0.990521327014218,0.9922480620155039,1.0,0.9844961240310077,0.9921875,SMOTENC
HDC,CatBoost,1,1.0,0.995260663507109,0.9938271604938271,0.9923664122137404,1.0,0.9961685823754789,SMOTENC
HDC,CatBoost,2,0.9998100664767331,0.990521327014218,0.9899810066476733,0.9923076923076923,0.9923076923076923,0.9923076923076923,SMOTENC
HDC,CatBoost,3,0.988224121557455,0.981042654028436,0.9822886989553656,0.9921875,0.9769230769230769,0.9844961240310077,SMOTENC
HDC,CatBoost,4,0.9994327850255247,0.985781990521327,0.9883720930232558,1.0,0.9767441860465116,0.9882352941176471,SMOTENC
